,AwardID,Group,Region,"Claim Type 1: Breach of Contract,Breach of Implied Contract",Claim Type 2: QuasiContractual Claims,Claim Type 3: Breach of Fiduciary Duty,Claim Type 4: Negligence,Claim Type 5: Failure to Supervise/Negligent Supervision,Claim Type 6: Fraud,Claim Type 7: Unjust Enrichment,Claim Type 8: Suitability or Unsuitability,Claim Type 9: Misrepresentation,Claim Type 10: Unauthorized Trading,Claim Type 11: Churning,Claim Type 12: Failure to Execute,Claim Type 13: Breach of Promissory Note,Claim Type 14: Conversion 1,Claim Type 15: Violation of Securities Laws/Regulations,Claim Type 16: Employment Related Claims,Claim Type 17: Other,Length of Case,Winner
2461,14-02323,Group 3: One Attorney,South,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,511.0,Respondent
2462,14-00151,Group 2: One Non-Attorney,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,698.0,Respondent
2463,14-01677,Group 3: One Attorney,West,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,566.0,Claimant
2464,14-03868,Group 3: One Attorney,West,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,350.0,Claimant
2465,15-00011,Group 2: One Non-Attorney,Northeast,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,346.0,Respondent
2466,09-05466,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275.0,Claimant
2467,14-02942,Group 3: One Attorney,Midwest,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,445.0,Claimant
2468,15-01406,Group 1: Pro Se,Midwest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186.0,Respondent
2469,14-00462,Group 2: One Non-Attorney,Northeast,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,667.0,Respondent
2470,15-01719,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,148.0,Claimant
2471,13-02770,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.0,Claimant
2473,14-02759,Group 1: Pro Se,Northeast,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,461.0,Claimant
2474,15-00006,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.0,Respondent
2475,15-00826,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,Claimant
2476,15-00176,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.0,Claimant
2477,14-03705,Group 3: One Attorney,Northeast,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,361.0,Claimant
2478,15-00853,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.0,Respondent
2479,14-03709,Group 3: One Attorney,West,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,361.0,Respondent
2480,14-03685,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.0,Claimant
2481,15-00174,Group 1: Pro Se,Midwest,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314.0,Respondent
2482,15-01297,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,Claimant
2484,14-02348,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.0,Respondent
2486,12-01957,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1288.0,Claimant
2487,14-03684,Group 2: One Non-Attorney,West,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,365.0,Claimant
2488,14-01241,Group 3: One Attorney,West,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,595.0,Respondent
2489,14-00029,Group 3: One Attorney,West,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,699.0,Respondent
2491,12-02414,Group 4: Multiple Representatives,West,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1252.0,Claimant
2492,13-03071,Group 3: One Attorney,West,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1444.0,Respondent
2493,14-01455,Group 2: One Non-Attorney,Northeast,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,576.0,Claimant
2494,15-01376,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,Claimant
2495,14-00306,Group 3: One Attorney,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,670.0,Respondent
2496,14-03286,Group 2: One Non-Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.0,Respondent
2497,14-00481,Group 3: One Attorney,Midwest,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,655.0,Respondent
2498,14-00588,Group 3: One Attorney,Northeast,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,650.0,Respondent
2499,14-03860,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.0,Claimant
2500,13-01808,Group 3: One Attorney,Northeast,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,891.0,Claimant
2501,12-03270,Group 3: One Attorney,Northeast,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1169.0,Respondent
2502,13-03673,Group 3: One Attorney,Northeast,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,708.0,Respondent
2503,13-02320,Group 1: Pro Se,West,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,846.0,Respondent
2504,12-02298,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254.0,Respondent
2505,15-01502,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,155.0,Claimant
2506,14-01158,Group 2: One Non-Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.0,Respondent
2509,12-02861,Group 4: Multiple Representatives,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.0,Claimant
2510,14-03522,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.0,Respondent
2511,12-01821,Group 3: One Attorney,Northeast,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1287.0,Claimant
2512,15-01267,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,Claimant
2513,15-00339,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285.0,Claimant
2514,14-02077,Group 3: One Attorney,West,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,509.0,Respondent
2515,14-03803,Group 3: One Attorney,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340.0,Claimant
2516,15-01843,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124.0,Claimant
2518,14-02940,Group 2: One Non-Attorney,South,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,422.0,Respondent
2519,15-00476,Group 1: Pro Se,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.0,Claimant
2520,15-00492,Group 2: One Non-Attorney,South,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,268.0,Respondent
2521,14-00584,Group 1: Pro Se,Northeast,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,635.0,Respondent
2522,14-00209,Group 3: One Attorney,Midwest,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,673.0,Respondent
2523,13-03517,Group 2: One Non-Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,720.0,Claimant
2524,13-03119,Group 4: Multiple Representatives,West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,755.0,Claimant
2525,13-03731,Group 2: One Non-Attorney,West,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,695.0,Respondent
2526,13-01995,Group 3: One Attorney,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.0,Claimant
2527,14-03448,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.0,Claimant
2528,14-00864,Group 3: One Attorney,West,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,614.0,Claimant
2529,15-00032,Group 2: One Non-Attorney,Northeast,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,316.0,Respondent
2530,14-02634,Group 3: One Attorney,South,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,448.0,Claimant
2531,14-00987,Group 4: Multiple Representatives,South,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,598.0,Claimant
2532,13-03624,Group 3: One Attorney,South,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,703.0,Claimant
2533,15-01262,Group 1: Pro Se,South,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0,Respondent
2534,13-01369,Group 2: One Non-Attorney,Midwest,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,920.0,Respondent
2535,14-02168,Group 3: One Attorney,West,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,491.0,Respondent
2536,15-01648,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.0,Claimant
2537,11-00909,Group 3: One Attorney,Northeast,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1716.0,Claimant
2538,14-00235,Group 2: One Non-Attorney,Northeast,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,658.0,Respondent
2540,12-02925,Group 3: One Attorney,Northeast,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1187.0,Respondent
2541,13-02569,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.0,Claimant
2542,13-02607,Group 3: One Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.0,Respondent
2543,15-00252,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,286.0,Claimant
2545,14-02152,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,491.0,Claimant
2546,15-01181,Group 3: One Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,Claimant
2547,14-02264,Group 2: One Non-Attorney,West,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,484.0,Respondent
2548,14-02290,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,Claimant
2549,14-01599,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,540.0,Claimant
2552,13-03654,Group 3: One Attorney,South,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,700.0,Respondent
2554,13-03010,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757.0,Claimant
2555,15-01340,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,Claimant
2556,14-03458,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.0,Claimant
2558,14-02314,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.0,Claimant
2559,15-01081,Group 3: One Attorney,South,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,182.0,Claimant
2560,15-00566,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.0,Claimant
2561,14-02778,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.0,Claimant
2563,15-00378,Group 3: One Attorney,South,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,266.0,Claimant
2564,14-00959,Group 2: One Non-Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,592.0,Claimant
2565,15-01205,Group 2: One Non-Attorney,South,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,175.0,Respondent
2566,15-00812,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.0,Claimant
2567,14-03818,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,321.0,Respondent
2568,15-01910,Group 2: One Non-Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105.0,Claimant
2569,14-02589,Group 2: One Non-Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,Claimant
2570,14-01610,Group 2: One Non-Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.0,Respondent
2571,14-02301,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,472.0,Claimant
2572,14-03004,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.0,Respondent
2573,13-01942,Group 4: Multiple Representatives,West,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,861.0,Claimant
2574,14-01086,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,583.0,Claimant
2575,13-03158,Group 3: One Attorney,South,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,741.0,Respondent
2576,15-00936,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.0,Claimant
2577,14-01298,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,558.0,Respondent
2578,12-02661,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1204.0,Claimant
2579,14-03227,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.0,Claimant
2580,14-03854,Group 3: One Attorney,Northeast,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,321.0,Respondent
2581,14-03552,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,346.0,Claimant
2582,13-03250,Group 1: Pro Se,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,731.0,Claimant
2583,14-03103,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400.0,Claimant
2585,14-01258,Group 3: One Attorney,West,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,561.0,Respondent
2586,10-05704,Group 1: Pro Se,Northeast,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1778.0,Respondent
2587,14-03142,Group 2: One Non-Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,396.0,Claimant
2589,13-02833,Group 3: One Attorney,West,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,771.0,Respondent
2590,13-03350,Group 3: One Attorney,Northeast,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,719.0,Respondent
2591,14-01573,Group 2: One Non-Attorney,Northeast,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,529.0,Claimant
2592,12-02057,Group 3: One Attorney,South,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1243.0,Respondent
2593,15-00421,Group 2: One Non-Attorney,Midwest,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,261.0,Claimant
2594,15-02618,Group 3: One Attorney,Midwest,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,29.0,Claimant
2595,13-02444,Group 3: One Attorney,West,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,800.0,Claimant
2597,14-02847,Group 3: One Attorney,South,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,408.0,Claimant
2598,13-00894,Group 3: One Attorney,South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,951.0,Claimant
2599,14-02899,Group 3: One Attorney,South,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,402.0,Respondent
2600,15-01988,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,Respondent
2601,14-01220,Group 3: One Attorney,West,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,566.0,Respondent
2602,12-03215,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1145.0,Claimant
2603,15-00515,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,237.0,Claimant
2604,13-02887,Group 2: One Non-Attorney,West,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,762.0,Respondent
2606,14-01793,Group 3: One Attorney,Northeast,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,509.0,Claimant
2607,13-03701,Group 3: One Attorney,Northeast,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,676.0,Respondent
2608,14-02900,Group 3: One Attorney,Midwest,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,399.0,Claimant
2609,14-01779,Group 3: One Attorney,Northeast,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,508.0,Claimant
2610,14-01826,Group 2: One Non-Attorney,Northeast,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,506.0,Respondent
2611,14-01142,Group 3: One Attorney,West,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,562.0,Claimant
2612,14-03809,Group 3: One Attorney,Northeast,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,308.0,Claimant
2613,14-03165,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.0,Claimant
2614,14-03867,Group 2: One Non-Attorney,Midwest,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,304.0,Claimant
2615,15-00052,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,288.0,Claimant
2616,14-01159,Group 3: One Attorney,South,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,567.0,Claimant
2619,12-03310,Group 3: One Attorney,Midwest,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1135.0,Respondent
2621,13-02751,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.0,Claimant
2622,14-01942,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,489.0,Respondent
2623,15-00757,Group 1: Pro Se,West,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.0,Claimant
2624,14-02679,Group 1: Pro Se,South,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,420.0,Respondent
2625,15-01070,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0,Claimant
2627,15-00250,Group 2: One Non-Attorney,South,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,266.0,Respondent
2628,14-01597,Group 3: One Attorney,South,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,517.0,Respondent
2629,13-03133,Group 1: Pro Se,Northeast,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,723.0,Respondent
2630,13-03332,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,703.0,Claimant
2631,06-01354,Group 1: Pro Se,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3501.0,Respondent
2632,14-03804,Group 3: One Attorney,West,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,Claimant
2633,13-01142,Group 3: One Attorney,Midwest,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,906.0,Respondent
2634,14-01854,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,492.0,Claimant
2635,13-01147,Group 3: One Attorney,South,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Claimant
2638,14-02745,Group 3: One Attorney,South,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,403.0,Claimant
2639,14-02344,Group 2: One Non-Attorney,West,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,450.0,Respondent
2640,14-01878,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.0,Claimant
2642,14-00788,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.0,Claimant
2643,15-00081,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.0,Claimant
2644,14-01003,Group 2: One Non-Attorney,South,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,564.0,Respondent
2647,15-01213,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,Claimant
2648,14-00886,Group 2: One Non-Attorney,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,569.0,Respondent
2649,14-02846,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.0,Respondent
2650,09-01690,Group 3: One Attorney,Midwest,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2366.0,Claimant
2651,14-01263,Group 3: One Attorney,,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,534.0,Respondent
2652,15-00718,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.0,Claimant
2653,15-00210,Group 4: Multiple Representatives,South,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,205.0,Respondent
2654,12-01523,Group 1: Pro Se,South,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1259.0,Respondent
2655,15-00582,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.0,Claimant
2660,13-02789,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,745.0,Claimant
2661,15-00301,Group 3: One Attorney,Midwest,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,245.0,Claimant
2662,13-02352,Group 3: One Attorney,South,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,788.0,Claimant
2663,14-02768,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,392.0,Claimant
2664,14-00610,Group 3: One Attorney,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.0,Claimant
2665,13-03766,Group 2: One Non-Attorney,Northeast,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,641.0,Respondent
2666,14-02246,Group 3: One Attorney,Northeast,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,442.0,Claimant
2667,14-02777,Group 2: One Non-Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,389.0,Claimant
2668,14-02206,Group 2: One Non-Attorney,South,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,452.0,Respondent
2669,15-01088,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,Claimant
2670,15-00033,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.0,Claimant
2671,14-00582,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.0,Claimant
2672,13-02666,Group 3: One Attorney,Midwest,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,754.0,Claimant
2673,14-00458,Group 3: One Attorney,Northeast,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,597.0,Claimant
2674,14-03498,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.0,Respondent
2675,13-03472,Group 3: One Attorney,South,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,680.0,Respondent
2676,14-03271,Group 1: Pro Se,Midwest,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,345.0,Respondent
2677,10-00817,Group 3: One Attorney,South,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2048.0,Claimant
2678,15-00998,Group 3: One Attorney,Northeast,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,147.0,Claimant
2679,14-01408,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.0,Claimant
2680,15-00504,Group 3: One Attorney,South,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,214.0,Claimant
2681,14-01815,Group 2: One Non-Attorney,West,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,483.0,Claimant
2682,14-03523,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.0,Claimant
2683,15-01026,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143.0,Claimant
2684,13-02421,Group 3: One Attorney,Northeast,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,767.0,Respondent
2685,13-01867,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827.0,Claimant
2686,14-02812,Group 3: One Attorney,West,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,338.0,Respondent
2687,14-02630,Group 3: One Attorney,West,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,401.0,Respondent
2688,14-02337,Group 4: Multiple Representatives,West,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,428.0,Claimant
2689,15-00352,Group 3: One Attorney,South,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,232.0,Claimant
2690,15-00977,Group 2: One Non-Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.0,Claimant
2691,14-00383,Group 2: One Non-Attorney,Midwest,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,593.0,Claimant
2692,14-01939,Group 3: One Attorney,South,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,462.0,Respondent
2693,15-00949,Group 3: One Attorney,South,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,Respondent
2694,12-02866,Group 2: One Non-Attorney,West,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1140.0,Claimant
2696,14-02886,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.0,Claimant
2697,14-00399,Group 3: One Attorney,West,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,588.0,Respondent
2698,13-02364,Group 1: Pro Se,Northeast,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,771.0,Respondent
